seller-sku	asin1	price	quantity
11281_DE	B09N7X7F2C	25	14
11282_DE	B09N7X8CDR	73.52	3
11283_DE	B09N7X8CDS	25	23
11284_DE	B09N7XC6MD	64.56	49
11285_DE	B09N7VTPLH	164.57	6
11287_DE	B09N7VWCRL	49.3	34
1128_DE	B07VDPXT5D	41.73	4
11290_DE	B09N7VZ5W9	25	129
11291_DE	B09NC5Y9NQ	25	6
11292_DE	B09NC6BFL1	25	22
11296_DE	B09NC6T9LJ	25	32
11297_DE	B09NC716XX	25	15
11299_DE	B09N7W6GRD	134.2	5
1129_DE	B07VDQ5P54	149.54	15
11300_DE	B09NC766VC	25	8
11302_DE	B09N7W8JGX	80.15	9
11303_DE	B09NC7CFQT	25	149
11304_DE	B09NC7JWC2	25	44
11306_DE	B09NC7Z174	25	25
11307_DE	B09NC82HRP	25	6
11308_DE	B09NC82SF1	25	14
11309_DE	B09NC84RMR	25	1881
1130_DE	B07VDQBN38	25	8
11310_DE	B09NC8KQHN	25	26
11311_DE	B09NC8XSXS	25	50
11312_DE	B09N7WGHCT	134.94	11
11314_DE	B09NC9CBNX	25	3
11315_DE	B09NC9H9XN	25	8
11318_DE	B09NCB3RT1	25	222
11319_DE	B09NCB75RM	25	1
1131_DE	B07VDR16V3	25	1
11320_DE	B09NCBGPN9	25	12
11321_DE	B09NCBH4NY	25	1
11322_DE	B09NCBJ54R	25	40
11324_DE	B09NCBN5HR	25	10
11325_DE	B09NCBPFPB	25	27
11326_DE	B09NCBTFM3	25	334
11327_DE	B09NCBWG1X	25	13
11328_DE	B09NCBYX2K	25	7
11329_DE	B09NCC24C1	25	7
1132_DE	B07VDR25F6	25	8
11330_DE	B09NCC3DTC	25	17
11331_DE	B09N7XV3Q3	58.44	33
11332_DE	B09NCCDJPB	25	13
11333_DE	B09N9JM3D5	38.09	2
11335_DE	B09NCCJDB8	25	49
11336_DE	B09NC5J626	25	6
11337_DE	B09NCCLWWP	25	4
11338_DE	B09NCCN5ZP	25	15
11339_DE	B09NCCPNPZ	25	88
1133_DE	B07VDR5FDX	125.6	9
11341_DE	B09NCCWJP2	25	11
11342_DE	B09NCD18MX	25	30
11343_DE	B09NCD2FM2	25	6
11344_DE	B09NC6VQK3	45.16	26
11345_DE	B09NCD4NK7	25	11
11346_DE	B09NCD7SLC	25	11
11347_DE	B09NCDC2F4	25	8
11348_DE	B09NCDC2F5	25	10
11349_DE	B09NCDCBWR	25	5
1134_DE	B07VDR99N6	25	13
11350_DE	B09NCDCFN6	25	8
11351_DE	B09NC7XRQZ	152.39	13
11352_DE	B09NC7YCSS	25	22
11353_DE	B09NCDFK1Z	25	11
11354_DE	B09NCDKRPC	25	14
11355_DE	B09NCDNMZ4	26.02	78
11356_DE	B09NCDRDFQ	25	19
11357_DE	B09NC8JZXG	44.17	19
11358_DE	B09NCDV3GH	25	14
11359_DE	B09NCDW42V	25	13
1135_DE	B07VDRJ37G	143.96	8
11360_DE	B09NCDY8RB	25	11
11361_DE	B09NCF17QB	25	15
11362_DE	B09NCF5F1J	25	30
11363_DE	B09NCF94PF	25	44
11364_DE	B09NCFGHLC	25	10
11365_DE	B09NCFHJ36	25	44
11366_DE	B09NCFLSNF	25	52
11367_DE	B09NCFP4TL	25	126
11368_DE	B09NCFSJJJ	25	310
11369_DE	B09NCFV5ZN	25	10
1136_DE	B07VDRNKBB	143.96	6
11372_DE	B09NCBQHHP	63.1	40
11374_DE	B09NCG8NPX	25	18
11375_DE	B09NCGJYCL	25	5
11376_DE	B09NCGL5C2	25	11
11380_DE	B09NCHRCL2	25	14
11381_DE	B09NCCK8K1	25	62
11382_DE	B09NCJ2SR5	25	33
11383_DE	B09NCRMPF9	25	9
11386_DE	B09NCCWZRN	45.36	18
11387_DE	B09NCCYK59	25	3
11389_DE	B09NDY89ZX	25	719
1138_DE	B07VFTK52N	75.91	10
11390_DE	B09NCD34RY	37.79	24
11399_DE	B09QX7D3VV	39.71	11
11400_DE	B09RHRKDCS	25	1194
11401_DE	B09NCDQTFY	35.69	5
11409_DE	B09SGGGRR5	55.68	7
1140_DE	B07VJX9JRP	30.19	33
11411_DE	B09SGGV5YT	100.87	4
11413_DE	B09SGHKSWL	29.51	4
11414_DE	B09SGHL9FM	246.21	13
11415_DE	B09NCFN89K	48.22	436
11416_DE	B09SGJ9ZGF	84.37	13
11419_DE	B09NCFVWP3	28.08	33
11421_DE	B09WDWG7BQ	25	7
11422_DE	B09NCG7V3P	59.42	141
11432_DE	B09NCHKKB5	48.22	225
11442_DE	B09NNSKN7T	459.71	44
11445_DE	B09P1S18ST	25	974
11457_DE	B09Q6C8GYH	56.08	463
11458_DE	B09QFX6C91	86.83	2
11463_DE	B09QWWC51Z	39.37	16
11479_DE	B09S8N5G8L	29.66	25
11486_DE	B09SGHKQ1V	453.26	10
11488_DE	B09SGHKZC7	325.22	4
11491_DE	B09SGJCGY5	276.74	12
11494_DE	B09VBWHSYY	95.27	23
11507_DE	B09XDHFB95	192.03	27
11509_DE	B09XDHGD8K	157.84	10
11513_DE	B09XDHPLFM	26.89	519
11516_DE	B09XDHZ8Z7	53.45	75
11517_DE	B09XDHZNTW	179.23	10
1151_DE	B07WL6Z21L	25	9
11523_DE	B09XDJDLNW	29.93	75
1152_DE	B07WL7GHWM	25	3
11536_DE	B09XDKFPPD	73.21	6
11537_DE	B09XDKJLMY	126.64	15
11540_DE	B09XDLG52F	104.36	40
11560_DE	B0B2LCXTL6	44.13	100
11561_DE	B09YS13D5F	1485.44	1
11564_DE	B09YYVFSML	68.45	14
11565_DE	B09YYWLCYN	219.99	11
11571_DE	B09ZB69YNF	148.65	3
11572_DE	B09ZB6F47G	72.99	5
11573_DE	B09ZB6V127	25	70
11575_DE	B09ZB74CN2	236.03	8
11580_DE	B0B59SW9PF	73.53	8
11582_DE	B0B619HS7Z	2452.54	6
11588_DE	B0B9H1GD6K	25	135
11589_DE	B0BB1WQXZG	25	100
11590_DE	B0BBVSTRZH	25	100
11591_DE	B0BC1MW4BF	25	100
11601_DE	B09ZLQLZ3Q	210.75	24
11603_DE	B0BF9H1JW4	25	81
11613_DE	B0BHZKSSVQ	41.46	6
11628_DE	B0BMV4RPK3	25	12
11631_DE	B0BR89PSFK	33.75	5
11634_DE	B0B5QVMRSP	25	100
11636_DE	B0BS1L22DR	25	5
11637_DE	B0BS9QY22V	25	37
